Jan-15,79,2533
Date,Federal funds (effective),Discount Window Borrowing Rate,6-month CDs (secondary market),1-year Treasury Constant Maturity,Moody's Seasoned Aaa,30 Year Conventional Mortgages - Federal Home Loan Mortgage Corporation,Bank Prime Loan Rate: Percent,Current Activity Index: Third Federal Reserve District: Philadelphia Fed,Current New Orders: Third Federal Reserve District: Philadelphia Fed,Current Shipments: Third Federal Reserve District: Philadelphia Fed,Current Unfilled Orders: Third Federal Reserve District: Philadelphia Fed,Current Inventories: Third Federal Reserve District: Philadelphia Fed,Future Activity Index: Third Federal Reserve District: Philadelphia Fed,Future New Orders: Third Federal Reserve District: Philadelphia Fed,CPI: U.S. city average; All items; 1982-84=100; SA,CPI: U.S. city average; Energy; 1982-84=100; SA,CPI: U.S. city average; All items less energy; 1982-84=100; SA,CPI: U.S. city average; Apparel; 1982-84=100; SA,CPI: U.S. city average; Commodities; 1982-84=100; SA,CPI: U.S. city average; Food and beverages; 1982-84=100; SA,CPI: U.S. city average; Alcoholic beverages; 1982-84=100; SA,CPI: U.S. city average; Housing; 1982-84=100; SA,CPI: U.S. city average; Medical care; 1982-84=100; SA,CPI: U.S. city average; Nondurables; 1982-84=100; SA,CPI: U.S. city average; Utilities and public transportation; 1982-84=100; SA,CPI: U.S. city average; Transportation; 1982-84=100; SA,CPI: U.S. city average; Footwear; 1982-84=100; SA,CPI: U.S. city average; Educational books and supplies; 1982-84=100; SA,CPI: U.S. city average; Fuel oil; 1982-84=100; SA,CPI: U.S. city average; Electricity; 1982-84=100; SA,CPI: U.S. city average; Utility natural gas service; 1982-84=100; SA,CPI: U.S. city average; Prescription drugs and medical supplies; 1982-84=100; SA,CPI: U.S. city average; Used cars and trucks; 1982-84=100; SA,CPI: U.S. city average; Gasoline (all types); 1982-84=100; SA,CPI: U.S. city average; Fresh whole milk; 1982-84=100; SA,CPI: U.S. city average; Butter; 1982-84=100; SA,CPI: U.S. city average; New cars; 1982-84=100; SA,Industrial Production Index: Total index; 1997=100; SA,Industrial Production Index: Consumer goods; 1997=100; SA,Industrial Production Index: Durable consumer goods; 1997=100; SA,Industrial Production Index: Automotive products; 1997=100; SA,""Industrial Production Index: Computers,""Industrial Production Index: Appliances,Industrial Production Index: Nondurable consumer goods; 1997=100; SA,Industrial Production Index: Foods and tobacco; 1997=100; SA,Industrial Production Index: Clothing; 1997=100; SA,Industrial Production Index: Consumer energy products; 1997=100; SA,Industrial Production Index: Business equipment; 1997=100; SA,Industrial Production Index: Defense and space equipment; 1997=100; SA,Industrial Production Index: Construction supplies; 1997=100; SA,Industrial Production Index: Business supplies; 1997=100; SA,""Industrial Production Index:  Electric and gas utilities  NAICS=2211,Industrial Production Index: Electric power generation  NAICS=22111; 1997=100; SA,Industrial Production Index: Food  NAICS=311; 1997=100; SA,Industrial Production Index: Breweries  NAICS=31212; 1997=100; SA,Industrial Production Index: Petroleum refineries  NAICS=32411; 1997=100; SA,Industrial Production Index: Motor vehicle  NAICS=3361; 1997=100; SA,DJ Industrial Average Close,S&P 500 Close,S&P 500 Volume,Median Duration of Unemployment: Weeks: SA,""Unemployment rate,US Total New Privately Owned Housing Units Completed; Thousands; SAAR,Terms of Credit: New Car Loans at Auto Finance Companies: Interest Rate; NSA,Terms of Credit: New Car Loans at Auto Finance Companies: Loan-to-value ratio; NSA,Major Holders of Consumer Credit Outstanding: Total; Millions of dollars; NSA,""NIPA: Real Gross National Product: Chain Weighted: SA,""NIPA: Nominal Gross Domestic Product: SA,""NIPA: Real Gross Domestic Product: Chain Weighted: SA,""NIPA: Real Personal Consumption Expenditures: Chain Weighted: SA,""NIPA: Real Government Expenditures: Chain Weighted: SA,Household Debt Service Ratio: payments as a percentage of disposable personal income; seasonally adjusted,Financial Obligations Ratio: financial obligations as a percentage of disposable personal income; seasonally adjusted,Renter Financial Obligations Ratio: financial obligations as a percentage of disposable personal income; seasonally adjusted,Homeowner Financial Obligations Ratio: Total: financial obligations as a percentage of disposable personal income; seasonally adjusted,Terms of Credit: Commercial Bank Interest Rates: 48-month new car; NSA,Terms of Credit: Commercial Bank Interest Rates: 24-month personal credit; NSA,Terms of Credit: Commercial Bank Interest Rates: All credit card accounts; NSA,Senior Loan Officer Opinion Survey: Net Percentage of Domestic Respondents Indicating More Willingness to Make Consumer Installment Loans
2015-02-01,0.11,0,0,0,3.61,0,0.11,11.30000,37.00000,9.50000,9.90000,13.50000,34.60000,46.10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5,100.7511,0,0,0,0,0,0,0,0,114.5312,0,0,0,0,0,0,0,0,0,5.5,863.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0.11,0,0,0,3.64,0,0.11,7.20000,26.60000,-3.20000,-0.70000,-0.30000,37.30000,37.50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,102.3216,0,0,0,0,0,0,0,0,102.5268,0,0,0,0,0,0,0,0,0,5.4,781.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-01,0.12,0.75,0,0.27,3.52,0,0.12,9.70000,24.90000,4.00000,2.00000,4.10000,39.80000,33.80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,101.6669,0,0,0,0,0,0,0,0,87.8375,0,0,0,0,0,17698.18,0,0,0,5.4,1001.0,0,0,0,92.765,18279.784,92.765,196.514,0,10.043620,15.119851,0,0,0,0,0,0
2015-05-01,0.12,0.75,0,0.25,3.98,0,0.12,5.80000,15.10000,3.50000,4.20000,-1.60000,38.30000,35.20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.4,100.9714,0,0,0,0,0,0,0,0,89.3232,0,0,0,0,0,18024.06,0,0,0,5.6,1012.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0.13,0.75,0,0.26,4.19,0,0.13,8.20000,20.30000,11.90000,7.10000,1.60000,43.60000,48.20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2,100.6396,0,0,0,0,0,0,0,0,101.3074,0,0,0,0,0,18040.37,0,0,0,5.3,962.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,0.13,0.75,0,0.28,4.15,0,0.13,4.60000,5.10000,1.50000,-3.00000,-6.10000,40.90000,45.60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3,99.5816,0,0,0,0,0,0,0,0,110.2382,0,0,0,0,0,17757.91,0,0,0,5.2,988.0,0,0,0,98.569,18401.626,98.569,197.984,0,10.105586,15.187556,0,0,0,0,0,0
2015-08-01,0.14,0,0,0,4.04,0,0.14,5.50000,21.10000,11.20000,6.10000,-1.10000,35.20000,39.10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.3,100.5643,0,0,0,0,0,0,0,0,109.0314,0,0,0,0,0,0,0,0,0,5.1,974.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0.14,0.75,0,0.39,4.07,0,0.14,-3.70000,21.00000,10.70000,2.30000,-2.10000,37.10000,41.10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1,99.1212,0,0,0,0,0,0,0,0,100.2091,0,0,0,0,0,16058.35,0,0,0,5.0,1040.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,0.12,0.75,0,0.31,3.95,0,0.12,-4.90000,27.00000,-4.40000,14.30000,-13.40000,35.00000,36.50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2,101.2802,0,0,0,0,0,0,0,0,89.5857,0,0,0,0,0,16272.01,0,0,0,5.0,985.0,0,0,0,99.867,18435.137,99.867,191.266,0,10.040338,15.140882,0,0,0,0,0,0
2015-11-01,0.12,0,0,0,4.06,0,0.12,-3.50000,18.40000,-3.10000,4.00000,-9.20000,37.70000,44.20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1,100.3795,0,0,0,0,0,0,0,0,90.8253,0,0,0,0,0,0,0,0,0,5.1,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
